ticker,symbol,name,isin,sector,industry,basic_industry,index_name,source,active,series,free_float_market_cap,last_price,year_high,year_low,near_52w_high_pct,return_30d_pct,return_365d_pct,refreshed_at,exchange,security_id,nse_ticker,bse_ticker,nse_security_id,bse_security_id,data_quality,classification_source
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited,INE364U01010,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited,INE814H01029,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADFFOODS.NS,ADFFOODS,ADF Foods Limited,INE982B01027,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADL.NS,ADL,Archidply Decor Limited,INE0CHO01012,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADOR.NS,ADOR,Ador Welding Limited,INE045A01017,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADROITINFO.NS,ADROITINFO,Adroit Infotech Limited,INE737B01033,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADSL.NS,ADSL,Allied Digital Services Limited,INE102I01027,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADVAIT.NS,ADVAIT,Advait Energy Transitions Limited,INE0ALI01010,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADVANCE.NS,ADVANCE,Advance Agrolife Limited,INE1B0W01010,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADVANIHOTR.NS,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADVENTHTL.NS,ADVENTHTL,Advent Hotels International Limited,INE28GN01010,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
ADVENZYMES.NS,ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
AEGISLOG.NS,AEGISLOG,Aegis Logistics Limited,INE208C01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
AEGISVOPAK.NS,AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
AEPL.NS,AEPL,Artemis Electricals and Projects Limited,INE757T01025,Unclassified,Unclassified,Unclassified,NSE FULL EQUITY,nse_equity_master_unclassified,True,EQ,,,,,,,,2026-05-31T11:37:04.249235+00:00,,,,,,,,
